external_gene_name	entrezgene_id
GOLGA8S	653061
TSPY26P	128854
MIR1825	100302183
MPHOSPH8	54737
PRRC2A	7916
RP11-262H14.1	100996870
EXD1	161829
BAK1P1	578
LINC00160	54064
AP000330.8	100506385
N6AMT1	29104
BPIFA4P	317716
RP11-262H14.3	403323
MIR802	768219
RP4-553F4.6	101929746
MAN2A2	4122
KANK1	23189
LINC00476	101930476
PSPC1	55269
RP5-1125A11.1	101926888
GOLGA6L2	283685
MIR4755	100616434
RP11-381O7.3	286297
RP11-752G15.3	283692
AP000688.8	100996609
AC105339.1	338963
LINC00092	100188953
RP11-752G15.9	283693
AP000688.14	100133286
MIR644A	693229
LINC01015	100507362
NEK6	10783
RP11-752G15.6	100505616
MIR499A	100616134
SCARNA15	677778
SNORD33	692092
DMRT1	1761
MIR3135B	100616218
GABPB1	2553
MKRN3	7681
CTIF	9811
TAPSAR1	100507463
MIR4515	100616404
CBR3-AS1	100506428
DMRT3	58524
ZMYM5	9205
FAM83C-AS1	140846
IGLL1	3543
MIR1289-1	100302125
LTN1	26046
RP11-535M15.1	100996557
MAGEL2	54551
NDN	4692
IFITM4P	340198
LINC00537	203274
RP3-477O4.5	140873
MIR4477A	100616194
ZSWIM3	140831
PSMB7	5695
NPAP1	23742
RP11-561O23.9	101929800
DMRT2	10655
HCG4	54435
ZSWIM1	90204
RP11-520B13.4	340508
CTCFL	140690
CHP1	11261
HYAL2	8692
SERINC2	347735
PGM5-AS1	572558
SPATA25	128497
MIR1299	100302167
NEURL2	140825
GOLGA2P7	101929847
RP11-439L8.3	149086
PGM5P2	595135
OACYLP	390858
C5orf30	90355
ANKRD18CP	100287922
RP11-439L8.4	284551
HCG4B	80868
AC011043.1	389831
OIP5	11339
C22orf43	51233
BX255923.3	101930570
HCG9	10255
RWDD2B	10069
LSM14A	26065
NR5A1	2516
SMAD7	4092
FAM217B	63939
HLA-DPB2	3116
PTPRA	5786
TUSC2	11334
PPP1R3D	5509
BRD2	6046
HLA-J	3137
SNRPN	8926
RP11-23J9.5	100499484
RP11-15J10.8	101930230
LINC00657	647979
MYOM2	9172
RP11-879F14.2	100130938
NR6A1	2649
RP11-234K24.3	100130373
NDUFAF4P1	100306975
MIR4716	100616332
RP5-977B1.7	101926987
CDH26	60437
RGL4	266747
CTSA	5476
RP11-378A12.1	101927815
CECR7	100130418
GABPB1-AS1	100129387
RP11-274B18.2	101927015
LINC00489	100861522
CECR5-AS1	100130717
RP4-640H8.2	100287792
MIR4712	100616396
OLFML2A	169611
CECR3	27442
C9orf135-AS1	494558
USP16	10600
HCG25	414765
ESCO1	114799
RP1-272J12.1	101926957
RBFOX3	146713
ZMYM2	7750
DCAF13P3	100132724
NUSAP1	51203
MIR3198-1	100423025
FBXL22	283807
LINC00528	200298
WDR38	401551
MIR4713	100616369
MAMDC2-AS1	100507244
SNORA71B	26776
SNORA71A	26777
SNORA71C	677839
ENPP7	339221
SNORA71D	677840
SMARCA2	6595
RPL35	11224
HLA-DOA	3111
RASSF1	11186
MIR3909	100500826
MIR204	406987
GOLGA6L5P	374650
CBX2	84733
DAXX	1616
ARPC5L	81873
C20orf197	284756
MIR5004	100847012
TTC3-AS1	100874006
MIR648	693233
CBX8	57332
SEMA3B-AS1	101928931
DSCR9	257203
CH17-351M24.1	644767
MIR4739	100616170
XXbac-B476C20.17	100192420
RP11-63P12.6	100507540
CTD-2116F7.1	100652929
SNHG11	677821
ZNF70	7621
RP11-23J9.4	57653
RP4-809F18.1	101927531
SNRPD1	6632
RP5-944M2.1	283435
VPREB3	29802
MIR1266	100302202
USP8	9101
CDH4	1002
RP11-151D14.1	101927258
GGT3P	100132705
ZNF716	441234
GOLGA1	2800
RP11-209K10.2	101928499
RP11-114G11.3	100653233
C22orf15	150248
PPP1R3B	79660
hsa-mir-219a-1	407002
ASIC5	51802
SNORA60	677837
HERC1	8925
MIR3147	100422939
MIR548O2	100616190
ABHD3	171586
RP11-171A24.2	101927358
RP4-705O1.1	339568
TDO2	6999
HLA-DPA1	3113
CHCHD10	400916
RP11-197P3.4	101927380
UBE2Q2P1	388165
PCK1	5105
RP11-101E14.2	100505663
GJA3	2700
CTSO	1519
DYM	54808
GJB2	2706
DSCR10	259234
RP1-1J6.2	101927117
UNC45A	55898
PIN4	5303
LINC00933	100506874
LL22NC01-81G9.3	100506241
PCA3	50652
MMP11	4320
KIFC1	3833
RP11-1096D5.1	100996669
PDE3B	5140
DGCR9	25787
VPS13A-AS1	100286938
GJB6	10804
RP1-63G5.5	101927035
RP11-466A17.1	101927422
DGCR10	26222
RP1-63G5.7	100506271
SCAI	286205
Z83844.1	101927051
CCT8	10694
RP11-139H15.1	101928527
MIR658	724028
RP1-232N11.2	101927159
MIR659	724029
MIR1302-8	100302223
TNKS	8658
RP4-753D4.2	101927138
MIR4534	100616146
TAF4	6874
DYX1C1-CCPG1	100533483
VLDLR	7436
ERCC6L	54821
MIR628	693213
RP11-165H23.1	101927450
CRYL1	51084
LINC00305	221241
DAPK2	23604
NDUFAF1	51103
RP11-146N18.1	284294
HLA-DPB1	3115
RP11-394O9.1	101927477
RP11-909B2.1	400654
SMARCB1	6598
RPS4X	6191
OSER1-AS1	100505783
C18orf32	497661
LINC00114	400866
HNF4A-AS1	101927219
CYP2R1	120227
SCAND2P	54581
RP11-154D17.1	101927502
MIR3646	100500813
MIR5011	100847002
RP5-1013A22.2	101927242
RP11-445H22.3	79015
SPATA31D5P	347127
GNRH2	2797
PPP6C	5537
RP3-434P1.6	101927183
RP11-638L3.1	643542
RP11-23B15.1	101928337
RTF1	23168
BAG6	7917
MIB1	57534
RP11-535C21.3	101928408
STK4-AS1	100505826
ZBP1	81030
DGCR11	25786
RP11-638L3.3	101927430
RP3-461P17.10	101927326
AC004463.6	100652736
FAM96A	84191
DERL3	91319
SPATA31B1	404770
KCNV2	169522
MIR3617	100500897
RNU6-39P	100873758
APOBEC3B-AS1	100874530
RP4-742C19.12	101927202
RPL17-C18orf32	100526842
MRPS26	64949
MIR4761	100616414
MIR185	406961
OXT	5020
AF064858.6	400867
SNORD83B	116938
SNORD83A	116937
LSM14B	149986
SNORD43	26807
USP50	373509
AVP	551
RABEPK	10244
PPAPDC1B	84513
AF064858.7	101928435
ACTG1	71
MIR3618	100500860
MKRN7P	7686
SLC35A2	7355
MIR1306	100302197
KIAA0020	9933
LINC00926	283663
XXbac-B444P24.8	284865
LINC00896	150197
RP11-41O4.2	101060542
MIR1286	100302118
IFT88	8100
RP4-591N18.2	101927257
RP11-323C15.2	101927355
BRWD1-IT2	257357
XXbac-B33L19.3	100996415
BRWD1-AS1	100874093
MIR3616	100500814
MIR4766	100616283
RP11-575L7.4	101927552
HSPA5	3309
CSPG4P12	440300
RP4-569M23.2	101927377
MAP3K7CL	56911
MIR1281	100302237
MIR7-1	407043
RP11-158D2.2	101927575
RP11-347D21.1	100505983
MIR33A	407039
RP11-347D21.3	101927457
RP11-347D21.4	101060004
MIR378I	100616259
PMEPA1	56937
MSRA	4482
LINC00634	339674
LINC00494	284749
IL17D	53342
SNX1	6642
NDUFA6-AS1	100132273
RP11-355N15.1	101928694
HCG17	414778
RP11-276H19.1	100506834
NAMA	100996569
RP11-50C13.2	101928668
SLC2A11	66035
RP11-276H19.2	440173
TRPM7	54822
TAPT1	202018
RP11-276H19.4	494127
HLA-L	3139
N6AMT2	221143
RPL17	100124516
PIM2	11040
RP11-30K9.6	101928725
ZFAS1	441951
PSMA7	5688
CTSL3P	392360
RP11-554F20.1	101928438
UBE3A	7337
Z83851.3	388906
HCG18	414777
RP11-60I3.5	441461
C8orf59	401466
MIR2116	100313886
SNORD12C	26765
SNORD12B	100113393
BACH1	100379661
SNORD12	692057
C20orf85	128602
RFX3	5991
MIR222	407007
RP5-1158E12.3	401585
TRERNA1	100887755
SERHL	94009
PLTP	5360
ITPKA	3706
RP11-112L6.4	101927541
ANKRD60	140731
XPO4	64328
RP11-290F20.1	284751
MIR4760	100616148
RP11-290F20.2	101927586
NKRF	55922
RRP7B	91695
UBOX5	22888
DSCAM-AS1	100506492
MIR645	693230
MIR1302-5	100302146
OTUD5	55593
MIR4289	100423015
hsa-mir-877	100126314
RP4-530I15.6	100506175
RP11-510D19.1	100505776
AGO2	27161
CYHR1	50626
RP11-723G8.1	101927537
CITED1	4435
RP5-914P20.5	101927631
RNU12	267010
MIR3153	100422936
MIF	4282
GATA6	2627
FASTKD5	60493
LINC00243	401247
MIR548AV	100847083
AL022476.2	100506679
RP11-676J15.1	100505797
MIR3194	100422889
RP11-406A20.1	101927847
MIR4640	100616237
RP5-1112F19.2	101927678
CTD-2354A18.1	100505817
RP11-406A20.4	286370
MIR4290	100422963
Z99756.1	101927447
RP11-158M2.5	101929679
DSCAM-IT1	100874326
HCG22	285834
RP4-723E3.1	101927700
MIR1276	100302121
LTK	4058
RP11-490D19.6	101928470
RP11-389K14.3	101927873
EFCAB6-AS1	100874197
GSTT2B	653689
LZTS3	9762
RP11-555F9.2	340515
CTAGE1	64693
RP11-231E4.2	101927606
PSORS1C3	100130889
LINC00323	284835
HCG27	253018
LINC00909	400657
RP1-30G7.2	101927574
CTA-397C4.2	101927526
GLIS3	169792
CALCA	796
LATS2	26524
DDTL	100037417
RP11-15M15.1	728805
RP11-704C2.1	100505853
LINC00207	388910
RP11-1O2.1	339298
PRSS55	203074
ZNF674-AS1	401588
LINC00229	414351
DDRGK1	65992
LINC00484	100129347
RP4-724E16.2	101927770
RP4-753M9.1	101927551
MIR548I4	100302191
DDT	1652
CTA-217C2.1	100506714
RP11-1055B8.4	100507520
LINC01149	101929111
RPS3AP6	6189
MIR1249	100302149
MIR3910-2	100500902
INE1	8552
SS18L1	26039
MIR4756	100616225
SAP18	10284
GC	2638
FAM90A10P	441328
SNORD83	692233
CTA-941F9.9	100506737
RP1L1	94137
